id,server_id,display_name,opc_node_id,node_id,sampling_interval,publishing_interval,queue_size,discard_oldest,data_change_trigger,deadband_type,deadband_value,active,historizing,readfrom,readtype,agentid,routeid,targetid,group_id,topic,tag,partition,json,eu_range,store_expanded_values,member_filters
1134,10,Byte,ns=2;s=Demo.Dynamic.Scalar.Byte,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1135,10,Boolean,ns=2;s=Demo.Dynamic.Scalar.Boolean,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1136,10,Double,ns=2;s=Demo.Dynamic.Scalar.Double,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1137,10,Float,ns=2;s=Demo.Dynamic.Scalar.Float,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1138,5,RandomInt32,ns=2;s=Dynamic/RandomInt32,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1139,5,RandomInt64,ns=2;s=Dynamic/RandomInt64,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1140,5,RandomFloat,ns=2;s=Dynamic/RandomFloat,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1141,5,RandomDouble,ns=2;s=Dynamic/RandomDouble,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1142,4,CurrentTime,i=2258,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1143,4,Uuid,ns=3;i=187188126,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1144,4,Name,ns=3;i=2891227697,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1145,4,XmlId,ns=3;i=502753009,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1146,5,000,ns=2;i=0,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1147,5,001,ns=2;i=1,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1148,5,002,ns=2;i=2,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
1149,5,003,ns=2;i=3,0,1000,1000,2,1,0,0,0.0,1,0,0,0,0,0,0,1,,,0,,0.0,1,
